obs_id,n_subruns,time,elapsed_time,corrected_elapsed_time,zd,min_zd,max_zd,az,ra,dec,events,ly_i,ly_i_err,ly_i_fit_p0,ly_i_fit_p1,ly_i_fit_u_p0,ly_i_fit_u_p1,ly_i_fit_chi2,ly_i_fit_pvalue,ly_i_fit_ndf,ly_i_fit_error_flag,ly_b3_fit_p0,ly_b3_fit_p1,ly_b3_fit_u_p0,ly_b3_fit_u_p1,ly_b3_fit_chi2,ly_b3_fit_pvalue,ly_b3_fit_ndf,ly_b3_fit_error_flag,ly_i_scaling,ly_i_scaling_err,ly_b3_scaling,ly_b3_scaling_err,ff_events,pedestal_events,num_contained_mu_rings,dcheck_fname,dl1_runwise_fname,dl2_fname,dl3_fname,intensity_cut,psf_spotsize,psf_time,alt,picture_thresh,boundary_thresh,diffuse_nsb_std,ff_charge_mean,ff_charge_stddev,ff_rel_time_mean,ff_rel_time_stddev,pedestal_charge_mean,pedestal_charge_stddev,pedestal_fraction_pulses_above10,pedestal_fraction_pulses_above30,cosmics_rate,cosmics_cleaned_rate,intensity_at_half_peak_rate,cosmics_peak_rate,cosmics_rate_at_422_pe,delta_cosmics_rate_at_422_pe,cosmics_spectral_index,delta_cosmics_spectral_index,ZD_corrected_intensity_at_half_peak_rate,ZD_corrected_cosmics_peak_rate,ZD_corrected_cosmics_rate_at_422_pe,ZD_corrected_delta_cosmics_rate_at_422_pe,ZD_corrected_cosmics_spectral_index,intensity_spectrum_fit_p_value,intensity_at_reference_rate,light_yield,mu_effi_mean,mu_effi_stddev,mu_width_mean,mu_width_stddev,mu_radius_mean,mu_radius_stddev,mu_intensity_mean,mu_hg_peak_sample,mu_hg_peak_sample_stddev,temperature,pressure,humidity,wind_speed,wind_gust,wind_speed_average,tng_dust,tng_seeing,rain,psf_time_since_h,ly_b3,ly_b3_p_value,ly_b3_err,separation_deg,ly_source_used,ly_b3_scaling_used,ly_b3_scaling_used_err
21404,10,2025-08-19 05:01:18.438055,584.9184458255768,584.9184458255768,52.2728357344203,51.22174359177028,53.2154693979777,83.00156800044452,83.96983327138372,22.249185535104704,417462,0.6840900385973953,0.015349776466280373,0.6830312345524854,8.972196482092723e-06,0.012607871362448616,3.8102171721325936e-05,2.328986331870544,0.8870944452053131,6.0,False,0.7842076233253557,9.49099122488386e-05,0.011093026006426244,3.399305064738576e-05,,,6.0,False,1.4590956908735742,0.010905510926315955,1.2368266221669952,,58090.0,58095.0,2400,DL1_datacheck_20250818.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL1/20250818/v0.11/tailcut1407/dl1_LST-1.Run21404.0002.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL2/20250818/v0.11/tailcut1407/nsb_tuning_1.25/dl2_LST-1.Run21404.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL3/20250818/v0.11/tailcut1407/nsb_tuning_1.25/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_1.25/src_indep/point/ring-wobble/gheff0.7_thetacont0.7/irf_interp/dl3_LST-1.Run21404.fits,174.56787015226362,39.790000915527344,2025-08-18 20:59:31,37.7271642655797,14.0,7.0,2.990735277490819,70.83890319226106,10.231788095900074,0.0012173200720946484,0.413465199545992,3.7450722443576385,3.0135040120047605,0.03146542284910525,5.187206247094349e-06,713.7097538628275,705.127360820128,132.7759068442219,3.0013578365276468,0.5941975763314512,0.005634925688558929,-2.2215233757591553,0.05788561194304189,118.51045292682895,4.511564127609852,1.1822905424940955,0.007959321613640236,-2.0203183065478956,0.5092441176065153,348.4805491512131,0.6840900385973951,0.22308512913798131,0.02218268909237436,0.11012728250679385,0.02085505163768526,0.9828426077750579,0.10035704196904097,1703.5898916905212,12.833025080516947,1.2380889761964018,20.27152840492492,791.9946604929956,17.665167189860735,7.705344185053985,9.338978942277668,8.109092745712424,2.0800000000000005,0.63,0.0,8.101921019694307,0.8093317578299574,0.5005733239930948,,0.3891309598604318,ly_b3,1.2368266221669952,
21405,12,2025-08-19 05:11:32.211513,569.9449436664581,569.9449436664581,49.59785007510862,48.56165636776548,50.522866694041355,84.87494697534378,83.2646016274469,21.789822984246168,535073,0.7246163152230349,0.016052342627619003,0.6896554718584986,5.52443123917619e-05,0.00844362261334845,2.1133860431827746e-05,70.63120584725955,3.679279103607769e-12,8.0,False,0.7405051588427821,0.00012332185450794224,0.09581664949080924,0.0003092839652066973,,,8.0,False,1.421341182556804,0.011702784476629119,1.296549825476465,,55958.0,55884.0,2493,DL1_datacheck_20250818.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL1/20250818/v0.11/tailcut1206/dl1_LST-1.Run21405.0000.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL2/20250818/v0.11/tailcut1206/nsb_tuning_0.81/dl2_LST-1.Run21405.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL3/20250818/v0.11/tailcut1206/nsb_tuning_0.81/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.81/src_indep/point/ring-wobble/gheff0.7_thetacont0.7/irf_interp/dl3_LST-1.Run21405.fits,185.33916261187161,39.790000915527344,2025-08-18 20:59:31,40.40214992489138,12.0,6.0,2.9464988964477206,70.93321106510659,10.34808257356555,0.0012554694234343166,0.41242531424436546,3.660179490055166,2.9636015090023897,0.028456179163693383,2.4715931078308064e-05,938.815241622942,936.1149808045907,140.81583140187416,3.0854301724629276,0.7010119996333776,0.005707804663435771,-2.201356954616059,0.050158059193430256,126.94027289792297,4.679574457289744,1.2079821881050148,0.007668798914731038,-2.0526654196424805,0.5940622591211145,352.7660149394314,0.724616315223035,0.22226042626095854,0.024466577702548356,0.11145757281276543,0.02387600081015756,0.9792152000456952,0.10128101052151439,1694.5111647849235,13.323340743901097,1.4470120593674682,20.316811368369894,792.0007522278278,17.274564781964095,6.9196672025059005,8.863715120904013,7.172197799432671,2.022873172710512,0.5887417358464805,0.0,8.270838651810763,0.8138634071312413,0.5033971830055517,,0.4101721880225043,ly_b3,1.296549825476465,
21726,144,2025-09-02 04:20:04.958087,1120.0562591552734,1108.1398156434298,48.18513327772813,46.13545989519,50.2120717654969,84.90169716507495,83.97534545396616,22.248288943367317,8183515,0.9511259648744832,0.016178799623877377,0.951316218990419,4.509507706171669e-06,0.0019637891348487867,2.9005126576003453e-06,336.2574796392631,0.0,140.0,False,0.9969643379680554,-2.88959179159936e-05,0.008289877967491288,1.2920243339811971e-05,,,140.0,False,1.0484197360878913,0.0016347505638608514,1.0195330486341165,,104185.0,104154.0,3137,DL1_datacheck_20250901.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL1/20250901/v0.11/tailcut84/dl1_LST-1.Run21726.0026.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL2/20250901/v0.11/tailcut84/nsb_tuning_0.22/dl2_LST-1.Run21726.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL3/20250901/v0.11/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.7_thetacont0.7/irf_interp/dl3_LST-1.Run21726.fits,52.74165272677633,42.04999923706055,2025-09-01 20:26:32,41.81486672227187,8.0,4.0,1.9327889393782478,70.19456516358952,9.79179820877694,0.0019230381369598705,0.41379974420971843,2.4734898288945026,1.9740810387498595,0.003354783087312751,1.6382862981749473e-05,7384.911979945715,3860.0318656688105,39.99200105705759,31.451880947007858,1.2508436855007263,0.02430547729040746,-2.366108337921933,0.11817471438765385,36.30513625326772,47.70618994689598,1.6371859706791327,0.03184966976345523,-2.223468545640693,0.4966860511614799,410.56614891027414,0.951125964874483,0.20159391489577444,0.016310706598992357,0.0741827759120269,0.019216375756660662,1.0222517442393797,0.09481872296886312,2067.5343543984773,14.526612525207096,1.2904943087444312,14.43230586959882,789.7105656426921,11.237334725723137,9.774537953441719,12.717642748181952,10.395232062117204,0.03,1.0685626176370884,0.0,8.04663458230988,0.9808720965778767,0.4860366202251932,,0.39271709257381515,ly_b3,1.0195330486341165,
21727,79,2025-09-02 04:39:17.710546,653.0081355571747,649.0375270694494,44.41311670649696,43.67142486146,45.54561777385856,87.40480008778515,83.33269791890699,21.789038467426213,4567712,139119.92335304868,8177285.856757945,0.9574062045647801,-5.223630632425355e-05,0.0023781770093678585,8.834820096335973e-06,3154.3034295569373,0.0,73.0,False,1.001897679964966,-8.235660391718945e-05,0.03542171339454202,9.38001063594212e-05,,,75.0,False,1.0627456854623436,0.004464361559777454,1.025494871176484,,13994.0,51802.0,1609,DL1_datacheck_20250901.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL1/20250901/v0.11/tailcut84/dl1_LST-1.Run21727.0021.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL2/20250901/v0.11/tailcut84/nsb_tuning_0.22/dl2_LST-1.Run21727.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL3/20250901/v0.11/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.7_thetacont0.7/irf_interp/dl3_LST-1.Run21727.fits,50.0,42.04999923706055,2025-09-01 20:26:32,45.58688329350304,8.0,4.0,1.9046385354481905,70.91072313231179,9.836875650319456,0.001903085601496934,0.41273526215541406,2.4481826998635765,1.9346747806183557,0.003075437318208186,4.9490615340941276e-05,7037.670103028168,4282.703055015444,30.561836331750417,45.31923074129338,1.1289027125079,0.022408050404024757,-2.3069368625823476,0.17467069907320956,28.309114984454425,67.92368839136493,1.3975117783324238,0.027713723903223842,-2.1893803041975146,0.4635879939887028,364.44023653009026,139119.9233530489,0.20141816457178016,0.017125473012530517,0.07556224940445311,0.019155460417652554,1.0172498301335682,0.09351456291360155,2037.235725576377,14.92007721751169,1.2677926542877693,14.829102698295058,789.6453670789688,11.272341686402688,10.697118988657863,13.009687584689717,10.769254936823776,0.029999999999999992,1.02,0.0,8.302115758270153,0.9882789761715428,0.3896502892021194,,0.35982040376185587,ly_b3,1.025494871176484,
21816,12,2025-09-16 04:15:16.152403,522.9874064922333,522.9874064922333,37.848328014839616,36.958467136836006,38.72370111087276,90.90367732662978,83.27207803144246,21.788003709908114,593504,0.8726024318391444,0.008155310511869903,0.8557372537872895,5.9371701203918454e-05,0.004522803781755502,1.6922766803444226e-05,6.168940875586957,0.6283143746400461,8.0,False,0.906207943395131,6.33162575278672e-05,0.010883011610185015,3.963352877965344e-05,,,8.0,False,1.1496173716612144,0.0032596348752744675,1.085466857100038,,51755.0,51792.0,2437,DL1_datacheck_20250915.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL1/20250915/v0.11/tailcut1206/dl1_LST-1.Run21816.0010.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL2/20250915/v0.11/tailcut1206/nsb_tuning_0.81/dl2_LST-1.Run21816.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL3/20250915/v0.11/tailcut1206/nsb_tuning_0.81/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.81/src_indep/point/ring-wobble/gheff0.7_thetacont0.7/irf_interp/dl3_LST-1.Run21816.fits,187.06311981041807,42.20000076293945,2025-09-24 19:40:06,52.151671985160384,12.0,6.0,3.2692098510305954,72.57518134273602,10.478261422244648,0.0013623002592151226,0.41368137376865066,4.080632716497254,3.280854832902264,0.04817874736237569,4.350662737247324e-06,1134.8342094520663,1130.7346843518728,142.57510128528241,4.591685803175221,1.0472798810516883,0.010551905686657957,-2.32447580543567,0.06111927354862429,136.62859817397475,6.556436727890336,1.468212870063162,0.012096250750030124,-2.247305274944876,0.3929302164503309,391.2725969275162,0.8726024318391444,0.2109556553306554,0.023185942367017008,0.11408815595285438,0.026643900668231985,0.9801731593887677,0.10092454571496842,1595.4983271710905,10.124550153281128,1.153041325094884,18.004173387575104,791.9563371659672,51.423591696298374,10.385065357934575,13.309129978067135,10.394395386871246,11.461985122704446,1.4672161314744023,0.0,-207.34736738475408,0.9174079053096896,0.5337218020193936,,0.40544773541574025,ly_b3,1.085466857100038,
21817,72,2025-09-16 04:24:17.948508,3058.323275566101,2963.5202549397945,31.853358573139122,26.16594258108548,37.21313917743309,93.81519426322484,83.9812209318149,22.24608025466063,3608809,0.895629975134926,0.006946259052777332,0.8947050474395407,3.005444591212177e-06,0.001132540206625224,7.184076367560184e-07,429.03273439765144,0.0,68.0,False,0.9606009105301685,-1.0602504286945284e-05,0.008656149088635648,5.054328503282307e-06,,,68.0,False,1.1122177397472204,0.0011029329860159328,1.0582404085291384,,293098.0,293316.0,14150,DL1_datacheck_20250915.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL1/20250915/v0.11/tailcut1206/dl1_LST-1.Run21817.0040.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL2/20250915/v0.11/tailcut1206/nsb_tuning_0.81/dl2_LST-1.Run21817.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL3/20250915/v0.11/tailcut1206/nsb_tuning_0.81/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.81/src_indep/point/ring-wobble/gheff0.7_thetacont0.7/irf_interp/dl3_LST-1.Run21817.fits,187.06311981041807,42.20000076293945,2025-09-24 19:40:06,58.14664142686088,12.0,6.0,3.1933610714229888,73.27475528943889,10.50753971491287,0.0012356347217330297,0.41269332360513433,4.010892601595731,3.2236711147311756,0.044808556920968946,2.603349263330982e-05,1217.743996851243,1213.9758430883705,142.38265426237834,4.859453401989188,1.1378105118508883,0.010530019121300535,-2.3289483006774043,0.05630300561866516,138.57742344667116,6.472434180720563,1.511980055808136,0.011511761135023581,-2.2770939550978353,0.4657330206665256,396.7167540758093,0.895629975134926,0.20846756313236517,0.0220657364211394,0.11202222243394108,0.025911196584372093,0.9792220789800837,0.09960670601581015,1602.993225949478,11.62834329029601,1.283915504212804,18.075645468277322,791.8735063463434,51.175351295404006,9.56102357620665,14.325101514097545,9.634432836712719,11.26,1.5289674180236932,0.0,-206.85603103920351,0.9438130320922792,0.5055763848119179,,0.3958545574711293,ly_b3,1.0582404085291384,
21921,47,2025-09-22 01:29:13.023954,707.0514671802521,707.0514671802521,68.86557403376852,67.66104727475114,70.08809007741002,75.43948634952102,83.95432296121773,22.256765722955592,2606221,0.9217091409103108,0.016404149124207908,0.91548181189744,2.4594158179194486e-05,0.003738784388175544,9.951972787600083e-06,68.92869896704556,0.007275003778317024,43.0,False,1.234826332798372,-0.0005712713401014739,0.02574552542461923,6.336621341699739e-05,,,42.0,False,1.0822954257849569,0.003019641904677742,0.9802739382808973,,68542.0,68502.0,1130,DL1_datacheck_20250921.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL1/20250921/v0.11/tailcut1005/dl1_LST-1.Run21921.0009.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL2/20250921/v0.11/tailcut1005/nsb_tuning_0.38/dl2_LST-1.Run21921.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL3/20250921/v0.11/tailcut1005/nsb_tuning_0.38/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.38/src_indep/point/ring-wobble/gheff0.7_thetacont0.7/irf_interp/dl3_LST-1.Run21921.fits,61.836168504116266,42.20000076293945,2025-09-24 19:40:06,21.134425966231472,10.0,5.0,2.0314135636182056,71.12650418304895,9.890051247464474,0.0015519573345607507,0.40914379796755573,2.587326450007641,2.0646194290373137,0.003460363921478732,1.013431974609866e-05,3686.0414283470873,2139.142721861314,47.310453102043326,21.270842112763987,0.5495740056657894,0.01146819623379911,-2.553937157253954,0.12626729224313327,42.19222391467157,34.41051031923193,1.577773807752676,0.029581971487568276,-2.2138972852636356,0.4972569364788319,403.69147501524185,0.9217091409103108,0.19954557048683072,0.016296921331090935,0.08085996190754995,0.018835301331534465,1.0546225121094228,0.0989968733870967,2027.166263761672,12.855958634711847,1.310030222340674,11.618189848034417,789.6921242373782,54.59882990040511,3.6738724732577945,4.959471705678959,3.7945957356373152,0.58,0.7402749300276643,0.0,-66.08529355627726,1.0494114890746769,0.49546399325352686,,0.38237994726837177,ly_b3,0.9802739382808973,
21922,109,2025-09-22 01:46:31.235528,894.4509830474854,894.4509830474854,64.8277024893944,63.24386339148548,66.40953266861808,77.30563386073798,83.95938577651971,22.25396424302682,6217722,0.9167492239115461,0.020685633384587985,0.912115842819504,1.0429056213805063e-05,0.003169478208008854,5.721201727796924e-06,210.44953644737546,4.760889682486891e-09,105.0,False,0.8631747338186824,3.018243885591406e-05,0.010298119781556708,2.0522670594019842e-05,,,105.0,False,1.0908279182368095,0.002558903555496251,1.140906308744795,,84425.0,84602.0,1766,DL1_datacheck_20250921.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL1/20250921/v0.11/tailcut1005/dl1_LST-1.Run21922.0021.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL2/20250921/v0.11/tailcut1005/nsb_tuning_0.38/dl2_LST-1.Run21922.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL3/20250921/v0.11/tailcut1005/nsb_tuning_0.38/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.38/src_indep/point/ring-wobble/gheff0.7_thetacont0.7/irf_interp/dl3_LST-1.Run21922.fits,59.18588004152671,42.20000076293945,2025-09-24 19:40:06,25.1722975106056,10.0,5.0,1.971557075399888,71.30907530367863,9.876152414304574,0.0014676451735150945,0.40888474411059905,2.5040980257487195,2.003612702333521,0.002952737086344838,1.907109166866366e-06,6951.439618094655,2501.6787307630552,45.24323544984529,23.65947688566321,0.6787209505074976,0.01695090805509158,-2.4839142241000554,0.1519949657531165,40.158531267828124,35.389110947270176,1.571587321805075,0.03549769633189847,-2.190938399914634,0.5114226782281038,402.7507041742789,0.9167492239115461,0.19790398088502542,0.016069529587506372,0.07874061134573347,0.0181389323449825,1.0493433651411117,0.09834697334254468,2029.5162204218468,13.439931862712141,1.3629435364634264,11.08570084687476,789.6338490032826,54.03913059551731,4.695064344869582,5.589772819471466,4.636740841160016,0.5799999999999998,0.7752305078134815,0.0,-65.76975148569305,0.8762379933594864,0.5521075035167333,,0.38431984221755167,ly_b3,1.140906308744795,
21923,125,2025-09-22 02:01:41.693501,1204.8855068683624,1204.8855068683624,60.56539769130697,58.39463599008381,62.704519696970365,79.80640310260591,83.25683378168524,21.79333240761491,7046279,0.938725001723729,0.017193475468425406,0.9298250599533442,2.107672173963521e-05,0.0021877687537833106,2.9694320628556654e-06,342.4430980603817,0.0,121.0,False,0.8951761487821451,2.6466997040365586e-05,0.009194262532921854,1.3364189903026251e-05,,,121.0,False,1.0611038978950675,0.001932970535434249,1.0977379560536256,,114555.0,114606.0,2745,DL1_datacheck_20250921.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL1/20250921/v0.11/tailcut84/dl1_LST-1.Run21923.0066.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL2/20250921/v0.11/tailcut84/nsb_tuning_0.22/dl2_LST-1.Run21923.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL3/20250921/v0.11/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.7_thetacont0.7/irf_interp/dl3_LST-1.Run21923.fits,54.22120746700797,42.20000076293945,2025-09-24 19:40:06,29.434602308693023,8.0,4.0,1.9164352920771515,71.32637302209986,9.854193215083829,0.0017875757561705663,0.4114616191739016,2.4159712896264365,1.931676737809956,0.00221820592694342,1.0092437388702311e-05,5848.090096389406,3420.8935010870855,41.31555922344966,32.390861277603065,0.9126129434522792,0.01866651406428371,-2.4732442928473826,0.12427393927928174,36.58030068791201,47.3359596230009,1.610523374121144,0.03299605032182979,-2.2252911956715327,0.49562612483760105,407.55664357679296,0.938725001723729,0.19673560677284035,0.016381249778077905,0.07721906327494621,0.01900778624246309,1.0419011537481442,0.10054753451440575,2031.8665042965717,14.123473982374213,1.2449830640528055,10.73834251914998,789.4460811648628,55.110774752595304,2.9644377062371863,3.6429303325263995,2.9887912602108426,0.5474023077376787,0.7669852197704974,0.0,-65.47340905237652,0.9100101653220011,0.5494577155487379,,0.41427524404845445,ly_b3,1.0977379560536256,
21924,122,2025-09-22 02:22:05.559910,1202.6094348430634,1202.6094348430634,56.60457721592741,54.44293079548975,58.75640196284097,81.03164413119366,83.96674387540543,22.250684793254436,6913510,0.948058103410904,0.015447554326312935,0.9316758874958961,2.2385170073850063e-05,0.0020629831617883397,2.976845939619091e-06,486.13543261837134,0.0,118.0,False,0.9308785906823136,2.1498401827447393e-06,0.007855777291127512,1.1391666689587967e-05,,,118.0,False,1.0582121513992935,0.001729477890948769,1.0727739735505555,,114743.0,114624.0,2993,DL1_datacheck_20250921.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL1/20250921/v0.11/tailcut84/dl1_LST-1.Run21924.0024.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL2/20250921/v0.11/tailcut84/nsb_tuning_0.22/dl2_LST-1.Run21924.h5,/fefs/onsite/data/lst-pipe/LSTN-01/DL3/20250921/v0.11/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.7_thetacont0.7/irf_interp/dl3_LST-1.Run21924.fits,54.22120746700797,42.20000076293945,2025-09-24 19:40:06,33.395422784072586,8.0,4.0,1.883166274408119,71.43895095460091,9.867777148159036,0.001838414219064822,0.411836952761644,2.4056517617148123,1.9227719904899307,0.002931211565020395,1.4203806810359879e-05,5748.757493244007,3587.0365515325743,41.42319470009042,32.10901432642789,1.0415979226684147,0.01944470583764747,-2.4271309871356705,0.11359465705710407,36.6874089734237,47.26954839208795,1.6312073196531744,0.030537052170123466,-2.2169373564447308,0.5073635791328369,409.8637376835905,0.948058103410904,0.19539081537987438,0.016422137279511927,0.075835665418265,0.019126294674318912,1.0368293701232079,0.0982736484021631,2029.8773750854002,14.300077996524688,1.3138215018379171,10.672683908053724,789.316556123335,56.40822584809503,3.1994672562111433,4.431503513891853,3.3326985217529463,0.43999999999999995,0.8005123398783716,0.0,-65.13411309433826,0.931263935485525,0.5781397167978235,,0.38773491140420185,ly_b3,1.0727739735505555,
