obs_id,temperature,humidity,wind_speed,tng_dust,tng_seeing,rain
1620,7.73408083291405,57.75627233855928,15.73294904853344,0.029999999999999995,2.3749719433510164,0.0
1621,7.557294289451037,45.41946008112612,13.833726745165274,0.029999999999999995,2.24,0.0
1622,7.641962085075984,49.3913855807237,14.850942869008863,0.037475059032122664,3.5032849764287315,0.0
1626,11.425481400215345,4.141786132131624,15.975624022633507,0.04,0.9000000000000002,0.0
1627,12.12043560313434,1.8213565240414114,13.519251792777562,0.039999999999999994,0.9000000000000001,0.0
1628,12.155726552163088,2.064775924166561,14.485796528178218,0.04,1.1627409767494614,0.0
1629,11.841665438840872,2.4913049974313726,12.700706405385146,0.04,1.1999999999999997,0.0
1630,10.831292319853944,4.724552638483024,13.365863767839029,0.03296821047363436,1.3476675800536786,0.0
1631,11.179581871449784,4.184805581106316,14.90608816471362,0.03,1.41,0.0
1632,10.953578188268754,4.821732894915249,14.913473463570465,0.029999999999999995,1.41,0.0
1633,10.319211771441708,5.6384221689554925,15.131570934396674,0.03,1.41,0.0
1647,10.02370192388964,27.25012958885887,12.442066782394868,0.144526786525575,1.2119383955343976,0.0
1648,9.222556032466404,32.05412607591129,12.056809537284586,0.05,0.9,0.0
1649,8.670000000000002,33.17,12.789999999999997,0.049999999999999996,0.9,0.0
1650,7.857106161972109,37.559461890362975,13.014331348492108,0.049999999999999996,0.9000000000000002,0.0
1651,8.691601429963981,35.74777654325676,14.74636042073792,0.05000000000000002,0.8999999999999999,0.0
1652,8.484676417567202,37.52558616805033,14.315274735329224,0.1,0.6899999999999998,0.0
1653,8.98383001194069,36.9434870415724,16.457941869426715,0.1,0.69,0.0
1787,1.149321239351011,51.071276617033234,6.205661903375044,0.3056644321314515,0.7397002241712738,0.0
1788,0.7680677832505103,53.91553692030791,6.381123831859467,0.08,0.7,0.0
1792,5.008229359192207,15.97129791945697,7.676122823964303,0.07,0.5999999999999999,0.0
1793,4.5331238508541265,17.64554081682651,7.632085486531596,0.114432320293995,0.6444323202939949,0.0
1794,4.787231238860362,15.010655269323594,7.262177718841638,0.11999999999999998,0.6500000000000001,0.0
1795,3.887547678262769,18.358947530013705,5.5971987776227445,0.12000000000000001,0.6499999999999999,0.0
1796,4.621997939126751,16.72955482504025,7.820938140717579,0.04000000000000001,0.8500000000000001,0.0
1797,4.523107254368967,16.807605075121966,8.128463546936299,0.04,0.8500000000000001,0.0
1798,4.675858973510088,18.263796668324495,7.014661579090313,0.11,1.27,0.0
1799,3.4198913540304363,20.36887905773499,7.328511805516332,0.59,0.6699999999999999,0.0
1800,4.465243725874555,14.948802826530134,7.44944919478744,0.05,1.0599999999999998,0.0
1801,4.394823232117931,16.49715553126564,8.464674765140357,0.11544455475136393,0.5270943398817506,0.0
1832,10.647609043063234,7.4154738660477495,15.379420198306986,0.182670197003011,1.1426701970030106,0.0
1833,10.549021146040099,8.095617155521667,12.649027799295261,0.25,1.2099999999999997,0.0
1834,10.878237064040519,7.817678373507982,11.95488940762508,0.25,1.21,0.0
1835,11.303198764260472,7.972979286187022,21.938535801838107,0.17236992915954344,1.070265872487178,0.0
1836,10.771528389745402,8.956915767077728,23.450051212217804,0.15,1.0300000000000002,0.0
1837,10.198039238948258,8.618109567372512,22.63020889164875,0.15333649401944566,1.0391753585534758,0.0
1840,10.597338507332477,10.09125691062186,16.4678421389595,0.22875216084840377,1.3806239195757983,0.0
1841,10.576396205459606,12.489984839798142,13.572770456357016,0.09,1.4499999999999997,0.0
1842,10.913912681638044,15.013236315143928,9.387044757161203,0.09000000000000001,1.4500000000000002,0.0
1843,10.657402603933853,17.267611567264662,8.435831968764747,0.09612794148664372,1.0026602714750077,0.0
1844,8.921705040411679,19.61838734322968,9.773538326931638,0.1,0.7199999999999999,0.0
1874,6.181419153107011,20.624308596101244,9.40951330477239,0.06,0.7299999999999999,0.0
1875,6.605237166524597,18.638757161754466,11.406978530504668,0.06,0.73,0.0
1876,6.146706909205905,17.54266349871566,11.068439594947838,0.06000000000000001,0.7300000000000001,0.0
1877,5.723548629852796,17.11397088863,10.077461078925868,0.059999999999999984,0.73,0.0
1878,6.251763533447422,14.77614297636003,10.241644296817416,0.07620723907748955,0.73,0.0
1879,6.49389808590417,17.31572479639571,12.085832468257378,0.07999999999999999,0.7299999999999999,0.0
1880,6.130340020150506,16.431324794324002,12.711123869746956,0.08100806612392826,0.7300000000000001,0.0
1881,7.596154861956474,13.306751487781547,13.274960984710452,0.11000000000000001,0.7300000000000001,0.0
1888,8.046639536594355,16.400966627917114,20.762462978985376,0.8600000000000002,1.26,0.0
1891,8.1070203558216,14.826633292877297,17.047449010610517,0.5900000000000001,0.78,0.0
1892,8.066240591829166,14.280849321388558,14.713701146437442,0.59,0.7800000000000001,0.0
1893,7.802320807249628,13.878585659904754,12.716295327854615,0.5002858372793648,0.9512724924666675,0.0
1918,8.489520502784082,31.587740384676163,19.363857838378195,76.4996206986966,1.4,0.0
1919,8.419191935434466,30.744151593177563,17.255483886159205,76.71,1.4,0.0
1920,8.56557204163311,29.212758644839347,21.66056392403331,75.88,1.4,0.0
1921,8.314506692598506,29.271578358706023,21.722440727254263,75.1195849852336,1.3999999999999997,0.0
1924,10.86652939530723,21.10280886055874,14.58060921821008,1.5700000000000005,1.4,0.0
1925,10.702476781652573,21.587811056688412,18.454580760183518,1.57,1.4000000000000001,0.0
1926,11.05236704750454,20.07823614535606,22.63583379467321,1.3148982545708872,1.4,0.0
1927,11.260732967252714,19.350219932972717,22.94742235292807,1.11,1.4,0.0
